194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 33 1 1 -0.386 -0.349 0.028 -12.971	2 0.674 0.613 -0.006 -14.756	R 23 0 3 0.034 0.044 -0.153 -0.207	4 -0.565 -0.581 0.698 3.582
L 34 1 1 -0.383 -0.348 -0.017 -12.031	2 0.673 0.613 0.017 -15.064	R 23 0 3 0.034 0.034 -0.471 0.057	4 -0.541 -0.562 0.460 -0.567
L 35 1 1 -0.379 -0.349 0.006 -11.134	2 0.673 0.614 0.051 -15.451	R 24 0 3 0.024 0.022 -0.369 -0.119	4 -0.541 -0.541 0.585 0.295
L 35 1 1 -0.379 -0.349 -0.006 -10.642	2 0.672 0.615 0.017 -15.741	R 25 0 3 0.014 0.022 0.096 -1.877	4 -0.517 -0.526 0.846 1.736
L 36 1 1 -0.376 -0.350 -0.051 -9.385	2 0.672 0.615 -0.006 -16.031	R 26 0 3 0.004 0.021 0.028 -3.829	4 -0.494 -0.508 0.562 2.879
L 37 1 1 -0.373 -0.350 -0.017 -8.154	2 0.672 0.615 -0.006 -16.092	R 26 0 3 0.004 0.017 -0.131 -4.426	4 -0.470 -0.487 0.403 -2.079
L 38 1 1 -0.370 -0.350 -0.051 -7.002	2 0.671 0.614 -0.040 -15.996	R 27 0 3 -0.005 0.011 -0.221 -5.631	4 -0.470 -0.468 0.755 -0.479
L 38 1 1 -0.370 -0.351 -0.017 -6.536	2 0.671 0.613 -0.085 -15.556	R 28 0 3 -0.013 0.004 -0.369 -5.103	4 -0.447 -0.453 0.732 1.112
L 39 1 1 -0.366 -0.351 0.017 -5.218	2 0.671 0.611 -0.085 -14.905	R 29 0 3 -0.020 -0.005 -0.278 -3.670	4 -0.424 -0.439 0.516 3.134
L 40 1 1 -0.363 -0.352 0.006 -4.145	2 0.670 0.608 -0.062 -14.132	R 29 0 3 -0.020 -0.015 -0.278 -2.035	4 -0.402 -0.421 0.244 -0.787
L 41 1 1 -0.360 -0.351 0.017 -3.310	2 0.670 0.605 -0.085 -13.068	R 30 0 3 -0.027 -0.023 -0.301 -1.200	4 -0.402 -0.406 0.471 1.288
