194 -0.006 -3.829	R 58 1 3 0.307 0.319 -0.028 -3.785	4 -0.670 -0.594 0.006 8.980
L 65 1 1 -0.288 -0.341 0.085 -17.288	2 0.674 0.560 0.028 -1.648	R 55 0 3 0.090 0.083 0.062 -0.004	4 -0.178 -0.183 -0.062 1.771
L 66 1 1 -0.285 -0.339 0.085 -16.927	2 0.674 0.560 -0.017 -1.499	R 55 0 3 0.090 0.094 0.301 -1.209	4 -0.179 -0.183 -0.017 1.745
L 67 1 1 -0.282 -0.338 0.040 -16.725	2 0.675 0.560 0.028 -1.499	R 56 0 3 0.102 0.102 0.448 -0.189	4 -0.179 -0.184 -0.051 1.332
L 67 1 1 -0.282 -0.337 0.062 -16.963	2 0.676 0.560 -0.006 -1.684	R 57 0 3 0.114 0.107 0.199 1.648	4 -0.182 -0.184 -0.062 0.813
L 68 1 1 -0.279 -0.335 0.085 -16.602	2 0.676 0.559 0.017 -1.868	R 58 0 3 0.127 0.118 0.210 0.145	4 -0.185 -0.187 -0.176 0.840
L 69 1 1 -0.277 -0.333 0.085 -16.444	2 0.677 0.559 -0.006 -2.387	R 58 0 3 0.127 0.129 0.312 -0.787	4 -0.190 -0.191 -0.096 2.044
L 70 1 1 -0.274 -0.331 0.096 -16.330	2 0.677 0.559 -0.006 -1.991	R 59 0 3 0.140 0.138 0.437 0.198	4 -0.190 -0.193 -0.085 1.279
L 70 1 1 -0.274 -0.330 0.051 -16.532	2 0.678 0.559 -0.176 -1.974	R 60 0 3 0.153 0.145 0.187 1.956	4 -0.195 -0.196 -0.131 0.180
L 71 1 1 -0.271 -0.328 0.028 -16.084	2 0.678 0.560 -0.176 -1.824	R 61 0 3 0.166 0.155 0.267 0.541	4 -0.202 -0.199 -0.176 -0.848
L 72 1 1 -0.269 -0.326 0.096 -15.890	2 0.679 0.560 0.017 -1.754	R 61 0 3 0.166 0.169 0.448 -0.848	4 -0.210 -0.204 -0.062 0.470
L 73 1 1 -0.266 -0.324 0.062 -15.802	2 0.680 0.560 -0.176 -1.745	R 62 0 3 0.180 0.178 0.392 0.505	4 -0.210 -0.212 -0.323 0.892
L 73 1 1 -0.266 -0.323 0.085 -16.189	2 0.681 0.560 -0.176 -1.560	R 63 0 3 0.194 0.184 0.346 2.343	4 -0.219 -0.220 -0.369 0.884
L 74 1 1 -0.264 -0.320 0.085 -16.171	2 0.681 0.560 0.017 -1.666	R 64 0 3 0.208 0.199 0.414 -0.084	4 -0.230 -0.229 -0.323 0.479
L 75 1 1 -0.261 -0.318 0.085 -16.084	2 0.682 0.560 -0.006 -1.675	R 64 0 3 0.208 0.211 0.323 -0.848	4 -0.242 -0.236 -0.085 1.912
L 76 1 1 -0.258 -0.316 0.108 -16.259	2 0.683 0.559 -0.017 -1.886	R 65 0 3 0.223 0.219 0.482 0.760	4 -0.242 -0.243 -0.244 0.558
L 76 1 1 -0.258 -0.313 0.085 -16.831	2 0.684 0.559 0.017 -2.079	R 66 0 3 0.237 0.228 0.403 2.000	4 -0.255 -0.252 -0.482 0.004
L 77 1 1 -0.256 -0.312 0.062 -16.391	2 0.684 0.559 -0.006 -2.000	R 67 0 3 0.252 0.242 0.244 0.180	4 -0.269 -0.264 -0.471 -0.708
L 78 1 1 -0.253 -0.310 0.119 -16.435	2 0.685 0.560 -0.176 -1.824	R 67 0 3 0.252 0.254 0.403 -0.462	4 -0.285 -0.277 -0.233 1.930
L 79 1 1 -0.251 -0.307 0.074 -16.514	2 0.687 0.559 0.017 -1.956	R 68 0 3 0.267 0.264 0.539 0.514	4 -0.285 -0.289 -0.460 0.989
L 79 1 1 -0.251 -0.305 0.051 -16.954	2 0.688 0.560 -0.006 -1.851	R 69 0 3 0.283 0.275 0.369 1.411	4 -0.302 -0.299 -0.471 -0.479
L 80 1 1 -0.249 -0.304 0.051 -16.664	2 0.688 0.560 -0.176 -1.613	R 70 0 3 0.298 0.286 0.153 0.629	4 -0.319 -0.312 -0.596 -0.268
L 81 1 1 -0.246 -0.302 0.074 -16.620	2 0.689 0.560 0.017 -1.587	R 70 0 3 0.298 0.301 0.528 -0.840	4 -0.338 -0.327 -0.312 1.490
L 82 1 1 -0.244 -0.300 0.062 -16.488	2 0.690 0.560 0.017 -1.754	R 71 0 3 0.313 0.312 0.505 0.268	4 -0.338 -0.340 -0.482 0.295
L 82 1 1 -0.244 -0.298 0.062 -16.936	2 0.692 0.560 -0.176 -1.719	R 72 0 3 0.328 0.319 0.289 1.982	4 -0.358 -0.353 -0.698 -0.224
L 83 1 1 -0.241 -0.297 0.028 -16.637	2 0.692 0.560 -0.176 -1.771	R 73 0 3 0.343 0.332 0.403 -0.057	4 -0.378 -0.368 -0.403 -2.018
L 84 1 1 -0.239 -0.295 0.096 -16.409	2 0.693 0.560 0.028 -1.833	R 73 0 3 0.343 0.348 0.426 -1.481	4 -0.399 -0.383 -0.550 1.675
L 85 1 1 -0.237 -0.293 0.096 -16.637	2 0.694 0.559 -0.176 -2.035	R 74 0 3 0.358 0.356 0.482 0.189	4 -0.399 -0.403 -0.550 0.303
L 85 1 1 -0.237 -0.291 0.040 -17.015	2 0.696 0.560 -0.176 -1.886	R 75 0 3 0.373 0.368 0.494 0.409	4 -0.420 -0.413 -0.630 -0.945
L 86 1 1 -0.234 -0.289 0.108 -16.901	2 0.696 0.559 -0.040 -1.930	R 76 0 3 0.387 0.379 0.096 -0.347	4 -0.442 -0.431 -0.619 -2.325
L 87 1 1 -0.232 -0.286 0.108 -17.121	2 0.697 0.560 0.028 -1.640	R 76 0 3 0.387 0.393 0.358 -2.466	4 -0.464 -0.446 -0.267 0.646
L 88 1 1 -0.230 -0.285 0.074 -17.059	2 0.699 0.560 0.040 -1.754	R 77 0 3 0.401 0.406 0.550 -2.176	4 -0.464 -0.464 -0.641 -0.620
L 88 1 1 -0.230 -0.282 0.085 -17.684	2 0.701 0.560 -0.176 -1.719	R 78 0 3 0.415 0.414 0.505 -0.708	4 -0.486 -0.476 -0.550 -2.747
L 89 1 1 -0.227 -0.279 0.051 -17.719	2 0.701 0.559 -0.017 -1.745	R 79 0 3 0.428 0.422 0.165 -1.103	4 -0.508 -0.491 -0.687 -4.207
L 90 1 1 -0.225 -0.277 0.096 -17.982	2 0.702 0.559 -0.017 -1.701	R 79 0 3 0.428 0.436 0.187 -2.774	4 -0.530 -0.510 -0.358 -0.180
L 91 1 1 -0.223 -0.274 0.119 17.692	2 0.704 0.559 -0.006 -1.903	R 80 0 3 0.440 0.446 0.448 -2.273	4 -0.530 -0.529 -0.709 -0.532
L 91 1 1 -0.223 -0.271 0.074 17.121	2 0.706 0.560 0.028 -1.587	R 81 0 3 0.452 0.452 0.426 -0.778	4 -0.551 -0.542 -0.482 -2.422
L 92 1 1 -0.221 -0.270 0.051 17.077	2 0.706 0.560 0.028 -1.736	R 82 0 3 0.463 0.458 0.040 -0.743	4 -0.571 -0.554 -0.641 -4.048
L 93 1 1 -0.219 -0.267 0.119 16.875	2 0.707 0.559 -0.017 -1.903	R 82 0 3 0.463 0.469 0.142 -1.877	4 -0.591 -0.570 -0.096 -1.604
L 94 1 1 -0.217 -0.265 0.040 16.840	2 0.709 0.560 -0.006 -1.569	R 83 0 3 0.474 0.472 0.289 0.303	4 -0.591 -0.579 -0.289 -4.549
L 94 1 1 -0.217 -0.264 0.006 16.611	2 0.711 0.560 -0.006 -1.525	R 84 0 3 0.484 0.477 0.210 1.684	4 -0.610 -0.587 -0.482 -7.380
L 95 1 1 -0.215 -0.262 0.040 16.673	2 0.711 0.560 0.028 -1.095	R 85 0 3 0.492 0.486 0.267 0.048	4 -0.627 -0.593 -0.369 -10.826
L 96 1 1 -0.212 -0.260 0.085 16.655	2 0.713 0.560 0.085 -1.930	R 85 0 3 0.492 0.494 0.187 -0.497	4 -0.643 -0.598 -0.051 -10.211
L 97 1 1 -0.210 -0.259 0.040 16.857	2 0.715 0.563 0.153 -1.991	R 86 0 3 0.500 0.496 0.233 0.813	4 -0.643 -0.606 -0.131 -13.385
L 97 1 1 -0.210 -0.259 -0.040 17.138	2 0.717 0.568 0.233 -1.859	R 87 0 3 0.507 0.503 0.244 0.840	4 -0.658 -0.614 -0.312 -15.662
L 98 1 1 -0.208 -0.260 -0.040 -17.991	2 0.717 0.575 0.199 -2.114	R 88 0 3 0.513 0.508 -0.074 0.523	4 -0.671 -0.620 -0.505 -16.207
L 99 1 1 -0.206 -0.261 -0.028 -16.743	2 0.719 0.585 0.187 -1.103	R 88 0 3 0.513 0.510 0.165 0.637	4 -0.683 -0.630 -0.346 -14.281
L 100 1 1 -0.204 -0.264 -0.040 -15.538	2 0.721 0.595 0.414 -1.446	R 89 0 3 0.517 0.515 0.187 0.620	4 -0.683 -0.642 -0.289 -14.484
L 100 1 1 -0.204 -0.266 -0.051 -14.352	2 0.723 0.605 0.539 -1.604	R 90 0 3 0.521 0.516 0.096 1.349	4 -0.693 -0.654 -0.437 -13.552
L 101 1 1 -0.202 -0.268 -0.096 -12.892	2 0.723 0.619 0.528 -1.543	R 91 0 3 0.523 0.521 0.074 0.382	4 -0.701 -0.665 -0.505 -12.136
L 102 1 1 -0.200 -0.272 -0.142 -10.914	2 0.725 0.630 0.301 -2.431	R 91 0 3 0.523 0.522 0.051 0.312	4 -0.708 -0.675 -0.301 -9.226
L 103 1 1 -0.199 -0.274 -0.017 -9.938	2 0.727 0.641 0.335 -5.930	R 92 0 3 0.525 0.524 0.028 0.312	4 -0.708 -0.684 -0.187 -8.725
L 103 1 1 -0.199 -0.274 -0.017 -9.420	2 0.730 0.649 0.244 -8.101	R 93 0 3 0.525 0.524 -0.006 0.409	4 -0.713 -0.691 -0.176 -8.180
L 104 1 1 -0.197 -0.274 0.028 -8.760	2 0.730 0.653 0.119 -8.989	R 94 0 3 0.525 0.524 -0.017 0.418	4 -0.717 -0.693 -0.085 -8.479
L 105 1 1 -0.195 -0.274 -0.176 -8.198	2 0.732 0.656 0.028 -9.007	R 94 0 3 0.525 0.523 -0.051 0.576	4 -0.719 -0.692 0.062 -8.971
L 106 1 1 -0.193 -0.273 0.062 -8.303	2 0.734 0.656 -0.017 -8.426	R 95 0 3 0.524 0.522 -0.096 0.901	4 -0.719 -0.689 0.096 -10.853
L 106 1 1 -0.193 -0.270 0.119 -9.138	2 0.737 0.654 -0.074 -7.679	R 96 0 3 0.522 0.519 -0.131 0.945	4 -0.721 -0.686 0.062 -12.180
L 107 1 1 -0.191 -0.267 0.119 -9.657	2 0.737 0.653 -0.040 -6.730	R 97 0 3 0.519 0.516 -0.108 1.657	4 -0.721 -0.683 0.074 -13.385
L 108 1 1 -0.189 -0.264 0.108 -9.807	2 0.739 0.653 0.017 -5.798	R 97 0 3 0.519 0.513 -0.096 2.325	4 -0.720 -0.681 0.028 -13.833
L 109 1 1 -0.188 -0.262 0.096 -10.062	2 0.742 0.653 0.051 -5.051	R 98 0 3 0.516 0.509 -0.153 2.457	4 -0.720 -0.681 0.017 -13.692
L 109 1 1 -0.188 -0.260 0.108 -10.730	2 0.744 0.655 0.062 -5.209	R 99 0 3 0.512 0.507 -0.187 2.176	4 -0.719 -0.682 -0.074 -12.875
L 110 1 1 -0.186 -0.258 0.085 -10.703	2 0.744 0.657 0.108 -5.385	R 0 1 3 0.509 0.505 -0.108 1.965	4 -0.717 -0.683 -0.028 -12.136
L 111 1 1 -0.184 -0.256 0.062 -10.738	2 0.747 0.659 0.096 -5.508	R 0 1 3 0.509 0.502 -0.085 2.290	4 -0.715 -0.683 -0.017 -11.829
L 112 1 1 -0.183 -0.255 0.062 -10.897	2 0.749 0.662 0.085 -5.666	R 1 1 3 0.505 0.498 -0.153 2.246	4 -0.715 -0.687 -0.346 -9.279
L 112 1 1 -0.183 -0.252 0.153 -11.749	2 0.752 0.662 -0.040 -5.112	R 2 1 3 0.501 0.495 -0.153 2.185	4 -0.713 -0.690 -0.131 -7.978
L 113 1 1 -0.181 -0.249 0.108 -12.400	2 0.752 0.663 0.040 -4.778	R 3 1 3 0.497 0.493 -0.017 1.886	4 -0.711 -0.692 -0.051 -6.941
L 114 1 1 -0.179 -0.246 0.062 -12.708	2 0.755 0.665 0.108 -4.655	R 3 1 3 0.497 0.490 -0.062 2.352	4 -0.709 -0.693 -0.006 -6.580
L 115 1 1 -0.178 -0.245 -0.176 -12.611	2 0.758 0.672 0.233 -5.604	R 4 1 3 0.493 0.486 -0.153 2.413	4 -0.709 -0.693 0.006 -5.833
L 115 1 1 -0.178 -0.244 0.062 -12.936	2 0.760 0.675 0.153 -7.169	R 5 1 3 0.489 0.484 -0.165 2.185	4 -0.707 -0.694 -0.017 -4.892
L 116 1 1 -0.176 -0.242 0.085 -12.919	2 0.760 0.679 0.085 -7.459	R 6 1 3 0.485 0.481 -0.074 1.991	4 -0.706 -0.695 -0.028 -3.952
L 117 1 1 -0.175 -0.240 0.074 -13.121	2 0.763 0.682 0.085 -7.169	R 6 1 3 0.485 0.477 -0.062 2.563	4 -0.704 -0.695 0.040 -3.732
L 118 1 1 -0.173 -0.238 0.040 -13.508	2 0.766 0.685 0.142 -7.626	R 7 1 3 0.481 0.473 -0.119 2.738	4 -0.704 -0.695 0.006 -3.213
L 118 1 1 -0.173 -0.236 0.108 -14.026	2 0.769 0.688 0.096 -8.207	R 8 1 3 0.477 0.470 -0.221 2.791	4 -0.702 -0.695 0.006 -2.563
L 119 1 1 -0.172 -0.234 0.085 -14.237	2 0.769 0.690 0.074 -8.453	R 9 1 3 0.473 0.467 -0.062 2.826	4 -0.701 -0.695 0.017 -2.149
L 0 0 1 -0.170 -0.231 0.085 -14.607	2 0.772 0.692 0.051 -7.943	R 9 1 3 0.473 0.463 -0.062 3.380	4 -0.699 -0.695 0.017 -2.132
L 1 0 1 -0.169 -0.229 0.074 -15.064	2 0.775 0.695 0.119 -8.066	R 10 1 3 0.469 0.459 -0.119 3.591	4 -0.699 -0.694 0.028 -1.956
L 1 0 1 -0.169 -0.227 0.176 -16.154	2 0.778 0.695 -0.062 -7.301	R 11 1 3 0.465 0.455 -0.278 4.057	4 -0.697 -0.692 0.040 -1.974
L 2 0 1 -0.168 -0.220 0.199 -17.631	2 0.778 0.693 -0.074 -5.938	R 12 1 3 0.462 0.451 -0.062 4.585	4 -0.696 -0.691 0.040 -2.097
L 3 0 1 -0.166 -0.215 0.165 16.840	2 0.781 0.691 -0.051 -4.286	R 12 1 3 0.462 0.447 -0.051 5.086	4 -0.694 -0.689 0.074 -2.756
L 4 0 1 -0.165 -0.210 0.142 15.732	2 0.784 0.690 -0.017 -3.240	R 13 1 3 0.458 0.442 -0.187 5.640	4 -0.694 -0.685 0.176 -3.732
L 4 0 1 -0.165 -0.207 0.131 14.677	2 0.786 0.690 -0.006 -2.818	R 14 1 3 0.454 0.436 -0.267 6.615	4 -0.693 -0.680 0.085 -4.365
L 5 0 1 -0.163 -0.203 0.119 13.798	2 0.786 0.690 0.040 -3.204	R 15 1 3 0.450 0.432 -0.142 7.389	4 -0.692 -0.679 0.006 -4.681
L 6 0 1 -0.160 -0.199 0.096 13.543	2 0.786 0.692 0.028 -2.580	R 15 1 3 0.450 0.428 -0.096 7.785	4 -0.690 -0.679 -0.051 -4.558
L 7 0 1 -0.158 -0.196 0.096 13.288	2 0.786 0.693 0.062 -3.319	R 16 1 3 0.447 0.424 -0.153 7.802	4 -0.690 -0.680 -0.062 -3.723
L 7 0 1 -0.158 -0.193 0.085 12.479	2 0.784 0.696 0.153 -4.954	R 17 1 3 0.443 0.421 -0.176 7.899	4 -0.689 -0.681 -0.006 -2.967
L 8 0 1 -0.154 -0.191 0.074 12.892	2 0.784 0.699 0.131 -6.158	R 18 1 3 0.439 0.418 -0.142 8.488	4 -0.688 -0.681 0.017 -2.378
L 9 0 1 -0.150 -0.188 0.119 13.130	2 0.781 0.702 0.131 -8.321	R 18 1 3 0.439 0.413 -0.142 9.165	4 -0.687 -0.681 0.006 -2.387
L 10 0 1 -0.146 -0.185 0.131 13.235	2 0.776 0.703 0.017 -10.273	R 19 1 3 0.436 0.409 -0.142 9.112	4 -0.687 -0.680 0.040 -2.246
L 10 0 1 -0.146 -0.181 0.142 12.066	2 0.770 0.703 -0.006 -11.196	R 20 1 3 0.432 0.405 -0.165 9.684	4 -0.685 -0.678 0.051 -2.466
L 11 0 1 -0.141 -0.176 0.131 12.479	2 0.770 0.702 0.028 -12.453	R 21 1 3 0.428 0.401 -0.176 10.580	4 -0.684 -0.676 0.096 -3.125
L 12 0 1 -0.135 -0.172 0.153 12.884	2 0.761 0.699 -0.096 -14.571	R 21 1 3 0.428 0.396 -0.187 11.512	4 -0.683 -0.673 0.062 -4.066
L 13 0 1 -0.128 -0.168 0.153 13.174	2 0.751 0.696 -0.255 -16.673	R 22 1 3 0.425 0.391 -0.187 11.916	4 -0.683 -0.669 0.108 -4.884
L 13 0 1 -0.128 -0.162 0.153 11.987	2 0.739 0.693 -0.074 -17.314	R 23 1 3 0.421 0.386 -0.199 12.224	4 -0.682 -0.665 0.176 -6.158
L 14 0 1 -0.121 -0.156 0.165 12.716	2 0.739 0.688 -0.142 17.780	R 24 1 3 0.418 0.382 -0.176 13.376	4 -0.681 -0.661 0.165 -7.204
L 15 0 1 -0.112 -0.150 0.255 13.051	2 0.725 0.682 -0.108 14.501	R 24 1 3 0.418 0.377 -0.187 14.527	4 -0.680 -0.657 0.199 -8.813
L 16 0 1 -0.104 -0.145 0.210 13.279	2 0.709 0.676 -0.335 12.295	R 25 1 3 0.414 0.372 -0.153 14.862	4 -0.680 -0.652 0.119 -9.842
L 16 0 1 -0.104 -0.138 0.187 11.890	2 0.692 0.670 -0.131 11.301	R 26 1 3 0.410 0.368 -0.187 15.354	4 -0.679 -0.648 0.142 -11.187
L 17 0 1 -0.095 -0.131 0.289 12.426	2 0.692 0.662 -0.244 10.651	R 27 1 3 0.407 0.363 -0.142 16.321	4 -0.678 -0.643 0.153 -12.699
L 18 0 1 -0.085 -0.122 0.323 12.954	2 0.673 0.651 -0.210 7.451	R 27 1 3 0.407 0.358 -0.153 17.059	4 -0.677 -0.638 0.131 -14.097
L 19 0 1 -0.075 -0.113 0.301 12.365	2 0.653 0.640 -0.550 5.165	R 28 1 3 0.403 0.354 -0.165 17.253	4 -0.677 -0.635 0.176 -15.213
L 19 0 1 -0.075 -0.103 0.380 9.473	2 0.632 0.640 0.096 2.097	R 29 1 3 0.400 0.351 -0.108 17.262	4 -0.677 -0.630 0.153 -16.303
L 20 0 1 -0.065 -0.089 0.494 8.127	2 0.632 0.625 -0.516 2.185	R 30 1 3 0.397 0.348 -0.119 17.851	4 -0.676 -0.625 0.176 -17.807
L 21 0 1 -0.054 -0.072 0.573 5.631	2 0.610 0.607 -0.755 0.998	R 30 1 3 0.397 0.345 -0.108 -17.631	4 -0.675 -0.622 0.085 16.884
L 22 0 1 -0.044 -0.057 0.414 3.512	2 0.588 0.594 -0.596 -0.453	R 31 1 3 0.393 0.343 -0.062 17.675	4 -0.675 -0.620 0.028 16.699
L 22 0 1 -0.044 -0.047 0.255 1.095	2 0.565 0.585 -0.187 -1.675	R 32 1 3 0.390 0.341 -0.074 17.191	4 -0.674 -0.620 0.176 16.655
L 23 0 1 -0.034 -0.042 0.187 2.571	2 0.565 0.572 -0.460 -2.536	R 33 1 3 0.386 0.340 0.006 16.892	4 -0.674 -0.620 0.017 16.910
L 24 0 1 -0.024 -0.034 0.312 3.503	2 0.541 0.554 -0.902 -3.811	R 33 1 3 0.386 0.340 -0.040 16.374	4 -0.673 -0.620 -0.040 16.963
L 25 0 1 -0.014 -0.026 0.335 3.125	2 0.517 0.536 -0.732 -5.341	R 34 1 3 0.383 0.339 -0.028 15.187	4 -0.673 -0.620 -0.051 17.218
L 25 0 1 -0.014 -0.016 0.312 0.875	2 0.494 0.519 -0.267 -3.802	R 35 1 3 0.379 0.339 -0.006 14.246	4 -0.673 -0.620 -0.028 17.349
L 26 0 1 -0.004 -0.009 0.233 1.376	2 0.494 0.501 -0.505 -2.941	R 36 1 3 0.376 0.339 0.040 13.648	4 -0.672 -0.620 0.176 17.622
L 27 0 1 0.005 -0.000 0.358 1.376	2 0.470 0.485 -0.778 -4.514	R 36 1 3 0.376 0.339 -0.040 13.077	4 -0.672 -0.620 0.006 17.692
L 28 0 1 0.013 0.007 0.233 1.130	2 0.447 0.466 -0.902 -5.068	R 37 1 3 0.373 0.340 0.006 11.477	4 -0.672 -0.620 0.040 17.631
L 28 0 1 0.013 0.012 0.176 0.066	2 0.424 0.448 -0.187 -3.644	R 38 1 3 0.370 0.340 -0.051 10.598	4 -0.671 -0.618 0.040 17.226
L 29 0 1 0.020 0.015 0.017 1.701	2 0.424 0.432 -0.585 -2.510	R 39 1 3 0.366 0.340 0.017 9.956	4 -0.671 -0.616 0.051 16.585
L 30 0 1 0.027 0.018 0.062 3.266	2 0.402 0.413 -0.698 -3.574	R 39 1 3 0.366 0.339 0.006 9.358	4 -0.670 -0.614 0.028 15.996
L 31 0 1 0.033 0.022 0.142 3.442	2 0.381 0.399 -0.687 -5.051	R 40 1 3 0.363 0.339 0.017 8.277	4 -0.670 -0.612 0.028 15.275
L 31 0 1 0.033 0.027 0.165 2.193	2 0.360 0.382 -0.233 -3.477	R 41 1 3 0.360 0.339 -0.062 7.468	4 -0.670 -0.609 0.074 14.624
L 32 0 1 0.038 0.030 0.142 2.659	2 0.360 0.366 -0.460 -2.422	R 42 1 3 0.356 0.339 -0.006 6.958	4 -0.670 -0.606 0.062 13.640
L 33 0 1 0.042 0.034 0.153 2.624	2 0.341 0.354 -0.607 -4.453	R 42 1 3 0.356 0.338 0.006 6.466	4 -0.669 -0.603 0.074 12.629
L 34 0 1 0.046 0.039 0.176 1.877	2 0.322 0.339 -0.653 -5.112	R 43 1 3 0.353 0.337 -0.062 5.798	4 -0.669 -0.601 0.074 11.749
L 34 0 1 0.046 0.043 0.108 0.998	2 0.305 0.326 -0.187 -4.040	R 44 1 3 0.350 0.336 -0.085 5.209	4 -0.669 -0.598 0.040 10.941
L 35 0 1 0.048 0.043 -0.028 1.569	2 0.305 0.313 -0.323 -3.301	R 45 1 3 0.347 0.335 -0.006 4.813	4 -0.669 -0.596 0.051 10.281
L 36 0 1 0.049 0.043 -0.017 1.974	2 0.288 0.300 -0.619 -3.749	R 45 1 3 0.347 0.334 -0.006 4.400	4 -0.669 -0.595 -0.017 9.947
L 37 0 1 0.049 0.043 -0.017 1.938	2 0.273 0.288 -0.505 -4.637	R 46 1 3 0.344 0.334 -0.040 3.433	4 -0.669 -0.594 0.017 9.719
L 37 0 1 0.049 0.043 -0.017 1.965	2 0.259 0.277 -0.165 -3.538	R 47 1 3 0.341 0.334 -0.085 2.334	4 -0.669 -0.594 0.028 9.613
L 38 0 1 0.047 0.043 -0.017 1.622	2 0.259 0.268 -0.221 -3.415	R 48 1 3 0.337 0.334 0.062 1.552	4 -0.669 -0.594 -0.028 9.569
L 39 0 1 0.045 0.043 0.006 0.954	2 0.246 0.259 -0.380 -4.338	R 48 1 3 0.337 0.333 -0.062 1.622	4 -0.669 -0.594 -0.062 9.578
L 40 0 1 0.042 0.043 -0.062 0.180	2 0.235 0.250 -0.369 -4.523	R 49 1 3 0.334 0.332 -0.074 0.945	4 -0.669 -0.594 0.176 9.596
L 40 0 1 0.042 0.042 -0.028 0.101	2 0.225 0.242 -0.085 -4.110	R 50 1 3 0.331 0.331 -0.062 0.163	4 -0.669 -0.594 -0.028 9.631
L 41 0 1 0.038 0.039 -0.096 -0.523	2 0.225 0.234 -0.233 -3.495	R 51 1 3 0.328 0.329 -0.006 0.312	4 -0.669 -0.594 -0.017 9.710
L 42 0 1 0.033 0.039 -0.096 -1.393	2 0.216 0.227 -0.380 -3.688	R 51 1 3 0.328 0.328 -0.062 -0.092	4 -0.669 -0.594 -0.028 9.622
L 43 0 1 0.027 0.037 -0.096 -2.967	2 0.208 0.221 -0.244 -4.215	R 52 1 3 0.325 0.326 -0.131 -0.251	4 -0.669 -0.594 0.176 9.481
L 43 0 1 0.027 0.034 -0.119 -2.633	2 0.201 0.217 -0.085 -4.101	R 53 1 3 0.322 0.326 -0.074 -1.165	4 -0.669 -0.593 0.176 9.349
L 44 0 1 0.020 0.030 -0.096 -3.767	2 0.201 0.213 -0.062 -4.374	R 54 1 3 0.319 0.325 0.051 -1.622	4 -0.669 -0.593 -0.017 9.138
L 45 0 1 0.012 0.025 -0.255 -4.382	2 0.196 0.208 -0.153 -4.620	R 54 1 3 0.319 0.323 -0.028 -1.516	4 -0.669 -0.593 -0.028 9.138
L 46 0 1 0.004 0.019 -0.267 -4.338	2 0.191 0.203 -0.187 -4.040	R 55 1 3 0.316 0.324 -0.085 -2.202	4 -0.669 -0.593 0.006 9.112
L 46 0 1 0.004 0.012 -0.278 -2.633	2 0.187 0.198 -0.108 -3.178	R 56 1 3 0.313 0.320 -0.131 -2.281	4 -0.670 -0.593 0.176 8.945
L 47 0 1 -0.005 0.003 -0.267 -3.187	2 0.187 0.196 -0.017 -3.442	R 57 1 3 0.310 0.319 0.040 -2.580	4 -0.670 -0.593 -0.028 8.804
L 48 0 1 -0.015 -0.005 -0.278 -3.327	2 0.184 0.196 -0.040 -4.127	R 57 1 3 0.310 0.318 -0.006 -2.993	4 -0.670 -0.593 -0.028 8.743
L 49 0 1 -0.025 -0.012 -0.255 -3.556	2 0.182 0.193 -0.085 -3.908	R 58 1 3 0.307 0.318 -0.051 -3.785	4 -0.670 -0.592 -0.028 8.514
L 49 0 1 -0.025 -0.019 -0.233 -2.132	2 0.180 0.191 -0.062 -3.574	R 59 1 3 0.305 0.318 -0.074 -4.523	4 -0.671 -0.592 0.006 8.189
L 50 0 1 -0.035 -0.025 -0.187 -3.503	2 0.180 0.191 0.006 -3.705	R 60 1 3 0.302 0.318 -0.028 -5.191	4 -0.671 -0.591 0.017 7.864
L 51 0 1 -0.046 -0.032 -0.233 -4.716	2 0.179 0.190 -0.040 -3.908	R 60 1 3 0.302 0.318 0.006 -5.956	4 -0.672 -0.591 0.006 7.670
L 52 0 1 -0.057 -0.039 -0.301 -5.024	2 0.178 0.189 -0.017 -3.925	R 61 1 3 0.299 0.318 0.017 -6.958	4 -0.672 -0.590 -0.017 7.336
L 52 0 1 -0.057 -0.048 -0.335 -2.923	2 0.177 0.188 0.006 -3.934	R 62 1 3 0.296 0.318 -0.096 -7.644	4 -0.672 -0.589 0.051 6.897
L 53 0 1 -0.068 -0.058 -0.323 -3.609	2 0.177 0.188 -0.028 -3.890	R 63 1 3 0.293 0.318 -0.017 -8.198	4 -0.673 -0.589 0.017 6.466
L 54 0 1 -0.079 -0.068 -0.335 -3.908	2 0.177 0.188 0.028 -3.864	R 63 1 3 0.293 0.318 0.017 -8.796	4 -0.673 -0.588 -0.040 6.185
L 55 0 1 -0.090 -0.077 -0.380 -3.345	2 0.178 0.187 0.017 -3.486	R 64 1 3 0.290 0.317 -0.006 -9.578	4 -0.673 -0.587 0.028 5.640
L 55 0 1 -0.090 -0.087 -0.289 -1.288	2 0.179 0.188 -0.006 -3.266	R 65 1 3 0.288 0.316 -0.085 -10.018	4 -0.674 -0.585 0.085 4.637
L 56 0 1 -0.102 -0.096 -0.244 -2.281	2 0.179 0.189 0.051 -3.363	R 66 1 3 0.285 0.316 -0.062 -10.246	4 -0.674 -0.584 0.006 3.987
L 57 0 1 -0.114 -0.105 -0.312 -3.125	2 0.182 0.190 0.051 -2.941	R 66 1 3 0.285 0.315 -0.017 -10.642	4 -0.675 -0.582 0.028 3.486
L 58 0 1 -0.127 -0.112 -0.301 -3.873	2 0.185 0.191 0.085 -2.431	R 67 1 3 0.282 0.313 -0.017 -11.134	4 -0.675 -0.581 0.028 2.905
