.532	R 34 0 3 -0.046 -0.038 -0.074 -1.886	4 -0.322 -0.337 0.482 3.864
L 39 0 1 0.045 0.044 -0.051 0.532	2 0.246 0.263 -0.426 -4.989	R 48 1 3 0.337 0.353 -0.040 -5.464	4 -0.669 -0.628 0.040 -14.369
L 39 0 1 0.045 0.044 -0.017 0.444	2 0.235 0.253 -0.108 -4.163	R 49 1 3 0.334 0.352 -0.074 -6.062	4 -0.669 -0.627 0.040 -14.774
L 40 0 1 0.042 0.042 -0.062 -0.040	2 0.235 0.246 -0.255 -3.864	R 50 1 3 0.331 0.351 0.006 -6.325	4 -0.669 -0.626 0.051 -15.143
L 41 0 1 0.038 0.042 -0.040 -1.323	2 0.225 0.239 -0.289 -4.927	R 50 1 3 0.331 0.349 -0.074 -6.440	4 -0.669 -0.625 0.040 -15.582
L 42 0 1 0.033 0.042 -0.006 -1.253	2 0.216 0.231 -0.289 -4.892	R 51 1 3 0.328 0.347 -0.096 -6.756	4 -0.669 -0.624 0.028 -16.013
L 42 0 1 0.033 0.039 -0.096 -2.334	2 0.208 0.225 -0.119 -4.330	R 52 1 3 0.325 0.346 -0.108 -7.231	4 -0.669 -0.623 -0.006 -16.171
L 43 0 1 0.027 0.036 -0.017 -3.407	2 0.208 0.219 -0.199 -3.767	R 53 1 3 0.322 0.345 -0.062 -7.310	4 -0.669 -0.623 0.006 -16.303
L 44 0 1 0.020 0.032 -0.142 -4.321	2 0.201 0.214 -0.176 -4.523	R 53 1 3 0.322 0.344 -0.017 -7.477	4 -0.669 -0.623 0.017 -16.286
L 45 0 1 0.012 0.028 -0.210 -4.699	2 0.196 0.210 -0.187 -4.875	R 54 1 3 0.319 0.341 -0.085 -7.873	4 -0.669 -0.623 0.017 -16.409
L 45 0 1 0.012 0.023 -0.187 -3.714	2 0.191 0.207 -0.108 -4.690	R 55 1 3 0.316 0.339 -0.096 -8.092	4 -0.669 -0.622 -0.006 -16.585
L 46 0 1 0.004 0.017 -0.187 -4.646	2 0.191 0.204 -0.142 -4.242	R 56 1 3 0.313 0.338 -0.062 -7.890	4 -0.670 -0.622 0.006 -16.716
L 47 0 1 -0.005 0.009 -0.255 -5.209	2 0.187 0.199 -0.131 -4.286	R 56 1 3 0.313 0.336 -0.074 -7.881	4 -0.670 -0.622 -0.006 -16.743
L 48 0 1 -0.015 0.001 -0.323 -4.567	2 0.184 0.196 -0.085 -4.382	R 57 1 3 0.310 0.334 -0.074 -8.312	4 -0.670 -0.622 -0.028 -16.848
L 48 0 1 -0.015 -0.008 -0.346 -2.316	2 0.182 0.195 -0.085 -4.127	R 58 1 3 0.307 0.331 -0.131 -8.303	4 -0.670 -0.622 -0.006 -17.095
L 49 0 1 -0.025 -0.017 -0.244 -3.020	2 0.182 0.194 -0.028 -4.365	R 59 1 3 0.305 0.329 -0.096 -7.987	4 -0.671 -0.622 0.040 -17.508
L 50 0 1 -0.035 -0.025 -0.244 -3.723	2 0.180 0.193 -0.051 -4.549	R 59 1 3 0.305 0.327 -0.062 -7.758	4 -0.671 -0.620 0.006 -17.754
L 51 0 1 -0.046 -0.031 -0.278 -4.075	2 0.179 0.191 -0.096 -4.374	R 60 1 3 0.302 0.324 -0.040 -8.145	4 -0.671 -0.620 -0.017 17.912
L 51 0 1 -0.046 -0.038 -0.233 -2.721	2 0.178 0.190 -0.040 -4.048	R 61 1 3 0.299 0.321 -0.153 -7.802	4 -0.672 -0.619 0.006 17.552
L 52 0 1 -0.057 -0.045 -0.210 -4.084	2 0.178 0.189 -0.028 -4.075	R 62 1 3 0.296 0.320 -0.085 -7.662	4 -0.672 -0.619 -0.028 17.385
L 53 0 1 -0.068 -0.054 -0.335 -4.673	2 0.177 0.189 0.006 -4.295	R 62 1 3 0.296 0.318 -0.051 -7.793	4 -0.673 -0.619 -0.017 17.358
L 54 0 1 -0.079 -0.063 -0.369 -4.681	2 0.177 0.189 -0.006 -4.180	R 63 1 3 0.293 0.316 -0.040 -8.110	4 -0.673 -0.619 -0.017 17.165
L 54 0 1 -0.079 -0.073 -0.358 -2.220	2 0.178 0.189 -0.040 -3.943	R 64 1 3 0.290 0.314 -0.108 -8.075	4 -0.673 -0.619 -0.028 17.007
L 55 0 1 -0.090 -0.082 -0.267 -3.143	2 0.178 0.189 0.017 -3.925	R 65 1 3 0.288 0.312 -0.108 -7.969	4 -0.674 -0.619 -0.040 16.848
L 56 0 1 -0.102 -0.091 -0.335 -3.864	2 0.179 0.190 0.051 -3.714	R 65 1 3 0.288 0.311 -0.028 -8.119	4 -0.674 -0.619 -0.028 16.822
L 57 0 1 -0.114 -0.099 -0.301 -4.057	2 0.182 0.190 0.040 -3.073	R 66 1 3 0.285 0.308 -0.051 -8.347	4 -0.674 -0.619 -0.040 16.593
L 57 0 1 -0.114 -0.108 -0.312 -2.035	2 0.185 0.192 0.017 -3.055	R 67 1 3 0.282 0.306 -0.096 -8.365	4 -0.675 -0.619 0.176 16.462
L 58 0 1 -0.127 -0.118 -0.346 -3.310	2 0.185 0.195 0.153 -3.512	R 68 1 3 0.279 0.305 -0.096 -8.048	4 -0.676 -0.620 -0.017 16.251
L 59 0 1 -0.140 -0.127 -0.335 -4.242	2 0.190 0.198 0.096 -3.231	R 68 1 3 0.279 0.302 -0.074 -7.978	4 -0.677 -0.620 0.176 16.251
L 60 0 1 -0.153 -0.137 -0.403 -4.189	2 0.195 0.201 0.131 -2.404	R 69 1 3 0.277 0.300 -0.028 -8.549	4 -0.677 -0.620 -0.017 16.163
L 60 0 1 -0.153 -0.147 -0.335 -1.895	2 0.202 0.205 0.108 -2.615	R 70 1 3 0.274 0.299 -0.119 -8.462	4 -0.677 -0.620 -0.028 15.934
L 61 0 1 -0.166 -0.157 -0.312 -3.292	2 0.202 0.212 0.267 -3.626	R 71 1 3 0.271 0.297 -0.085 -8.277	4 -0.678 -0.620 -0.040 15.662
L 62 0 1 -0.180 -0.167 -0.346 -4.426	2 0.210 0.220 0.267 -3.635	R 71 1 3 0.271 0.295 -0.040 -8.295	4 -0.679 -0.621 -0.017 15.670
L 63 0 1 -0.194 -0.176 -0.335 -4.734	2 0.219 0.225 0.221 -2.387	R 72 1 3 0.269 0.293 -0.017 -8.752	4 -0.679 -0.621 -0.051 15.477
L 63 0 1 -0.194 -0.186 -0.392 -2.545	2 0.230 0.232 0.199 -3.160	R 73 1 3 0.266 0.291 -0.119 -8.655	4 -0.680 -0.621 -0.028 15.266
L 64 0 1 -0.208 -0.197 -0.358 -3.820	2 0.230 0.241 0.267 -3.960	R 74 1 3 0.264 0.290 -0.096 -8.567	4 -0.681 -0.621 -0.028 15.011
L 65 0 1 -0.223 -0.208 -0.426 -4.629	2 0.242 0.249 0.312 -3.002	R 74 1 3 0.264 0.288 -0.074 -8.576	4 -0.682 -0.622 -0.040 15.196
L 66 0 1 -0.237 -0.220 -0.448 -4.532	2 0.255 0.259 0.494 -1.938	R 75 1 3 0.261 0.286 0.006 -8.901	4 -0.682 -0.622 -0.051 15.064
L 66 0 1 -0.237 -0.233 -0.437 -1.560	2 0.269 0.268 0.278 -2.554	R 76 1 3 0.258 0.284 -0.153 -8.866	4 -0.683 -0.623 0.176 14.967
L 67 0 1 -0.252 -0.244 -0.358 -2.809	2 0.269 0.279 0.210 -3.574	R 77 1 3 0.256 0.282 -0.096 -8.620	4 -0.684 -0.624 -0.051 14.791
L 68 0 1 -0.267 -0.256 -0.426 -3.837	2 0.285 0.291 0.460 -2.598	R 77 1 3 0.256 0.281 -0.051 -8.734	4 -0.685 -0.625 -0.062 14.967
L 69 0 1 -0.283 -0.267 -0.380 -3.960	2 0.302 0.302 0.550 -0.813	R 78 1 3 0.253 0.278 -0.017 -9.086	4 -0.685 -0.625 -0.074 14.923
L 69 0 1 -0.283 -0.279 -0.448 -0.980	2 0.319 0.312 0.233 -1.385	R 79 1 3 0.251 0.276 -0.131 -8.804	4 -0.687 -0.626 -0.040 14.826
L 70 0 1 -0.298 -0.291 -0.437 -2.009	2 0.319 0.326 0.323 -2.765	R 80 1 3 0.249 0.276 -0.051 -8.892	4 -0.688 -0.628 -0.085 15.046
L 71 0 1 -0.313 -0.304 -0.426 -2.791	2 0.338 0.340 0.471 -0.857	R 80 1 3 0.249 0.274 -0.074 -8.813	4 -0.689 -0.629 -0.040 15.363
L 72 0 1 -0.328 -0.316 -0.471 -2.035	2 0.358 0.353 0.755 0.382	R 81 1 3 0.246 0.271 -0.017 -9.015	4 -0.689 -0.630 -0.096 15.389
L 72 0 1 -0.328 -0.331 -0.471 0.251	2 0.378 0.367 0.380 -0.998	R 82 1 3 0.244 0.270 -0.153 -8.927	4 -0.690 -0.632 -0.028 15.213
L 73 0 1 -0.343 -0.342 -0.471 -0.435	2 0.378 0.380 0.233 -0.470	R 83 1 3 0.241 0.268 -0.062 -8.936	4 -0.692 -0.632 -0.062 15.196
L 74 0 1 -0.358 -0.353 -0.539 -0.787	2 0.399 0.396 0.630 1.042	R 83 1 3 0.241 0.266 -0.028 -8.760	4 -0.693 -0.634 -0.085 15.688
L 75 0 1 -0.373 -0.366 -0.426 -0.127	2 0.420 0.411 0.868 1.692	R 84 1 3 0.239 0.263 -0.131 -8.611	4 -0.693 -0.635 -0.051 15.547
L 75 0 1 -0.373 -0.380 -0.460 2.457	2 0.442 0.425 0.210 1.103	R 85 1 3 0.237 0.262 -0.131 -8.620	4 -0.694 -0.636 -0.028 15.240
L 76 0 1 -0.387 -0.391 -0.380 1.288	2 0.442 0.439 0.346 1.464	R 86 1 3 0.234 0.260 -0.074 -8.259	4 -0.696 -0.636 -0.051 15.152
L 77 0 1 -0.401 -0.403 -0.471 0.919	2 0.464 0.455 0.709 2.809	R 86 1 3 0.234 0.257 -0.040 -8.163	4 -0.697 -0.637 -0.051 15.345
L 78 0 1 -0.415 -0.415 -0.448 2.158	2 0.486 0.469 0.800 4.418	R 87 1 3 0.232 0.255 -0.040 -8.207	4 -0.697 -0.638 -0.074 15.187
L 78 0 1 -0.415 -0.428 -0.380 4.558	2 0.508 0.486 0.278 3.169	R 88 1 3 0.230 0.253 -0.119 -7.934	4 -0.699 -0.640 -0.062 15.046
L 79 0 1 -0.428 -0.437 -0.233 3.257	2 0.508 0.500 0.437 2.976	R 89 1 3 0.227 0.251 -0.131 -7.556	4 -0.701 -0.641 -0.062 15.055
L 80 0 1 -0.440 -0.446 -0.358 2.316	2 0.530 0.517 0.857 3.802	R 89 1 3 0.227 0.249 -0.074 -7.380	4 -0.702 -0.643 -0.040 15.459
L 81 0 1 -0.452 -0.455 -0.312 1.710	2 0.551 0.533 0.619 5.121	R 90 1 3 0.225 0.246 -0.051 -7.556	4 -0.702 -0.644 -0.051 15.486
L 81 0 1 -0.452 -0.464 -0.301 4.418	2 0.571 0.549 0.323 3.196	R 91 1 3 0.223 0.243 -0.119 -6.914	4 -0.704 -0.645 -0.062 15.389
L 82 0 1 -0.463 -0.469 -0.142 2.211	2 0.571 0.565 0.494 2.149	R 92 1 3 0.221 0.241 -0.142 -6.413	4 -0.706 -0.647 -0.108 15.468
L 83 0 1 -0.474 -0.476 -0.244 0.690	2 0.591 0.580 0.675 3.160	R 92 1 3 0.221 0.239 -0.085 -6.079	4 -0.707 -0.649 -0.062 15.908
L 84 0 1 -0.484 -0.484 -0.221 1.569	2 0.610 0.596 0.687 3.776	R 93 1 3 0.219 0.236 -0.096 -5.921	4 -0.707 -0.650 -0.096 16.022
L 84 0 1 -0.484 -0.491 -0.335 2.686	2 0.627 0.608 0.153 2.809	R 94 1 3 0.217 0.234 -0.108 -5.868	4 -0.709 -0.652 -0.096 15.969
L 85 0 1 -0.492 -0.498 -0.187 2.035	2 0.627 0.620 0.346 2.325	R 95 1 3 0.215 0.231 -0.096 -5.332	4 -0.711 -0.654 -0.108 15.987
L 86 0 1 -0.500 -0.505 -0.255 1.859	2 0.643 0.632 0.539 3.495	R 95 1 3 0.215 0.229 -0.085 -5.068	4 -0.713 -0.656 -0.096 16.681
L 87 0 1 -0.507 -0.511 -0.221 1.982	2 0.658 0.644 0.482 4.198	R 96 1 3 0.212 0.227 -0.028 -5.209	4 -0.713 -0.658 -0.119 16.787
L 87 0 1 -0.507 -0.516 -0.131 3.363	2 0.671 0.654 0.142 3.547	R 97 1 3 0.210 0.224 -0.131 -4.813	4 -0.715 -0.661 -0.085 16.813
L 88 0 1 -0.513 -0.517 -0.028 1.499	2 0.671 0.661 0.165 3.767	R 98 1 3 0.208 0.223 -0.074 -4.646	4 -0.717 -0.663 -0.165 17.297
L 89 0 1 -0.517 -0.519 -0.040 0.426	2 0.683 0.669 0.358 4.822	R 98 1 3 0.208 0.221 -0.062 -4.479	4 -0.719 -0.667 -0.142 -17.578
L 90 0 1 -0.521 -0.521 -0.085 0.163	2 0.693 0.676 0.267 5.657	R 99 1 3 0.206 0.220 0.006 -5.033	4 -0.719 -0.671 -0.187 -16.760
L 90 0 1 -0.521 -0.521 -0.006 -0.092	2 0.701 0.678 0.062 6.114	R 100 1 3 0.204 0.220 -0.051 -5.473	4 -0.721 -0.676 -0.187 -15.864
L 91 0 1 -0.523 -0.522 -0.028 -0.708	2 0.701 0.684 0.085 6.360	R 101 1 3 0.202 0.220 0.017 -5.798	4 -0.723 -0.682 -0.199 -14.448
L 92 0 1 -0.525 -0.522 -0.040 -1.279	2 0.708 0.689 0.199 6.686	R 101 1 3 0.202 0.220 -0.006 -6.246	4 -0.725 -0.687 -0.210 -12.514
L 93 0 1 -0.525 -0.521 0.040 -1.525	2 0.713 0.693 0.187 6.870	R 102 1 3 0.200 0.220 0.017 -6.967	4 -0.725 -0.693 -0.187 -11.565
L 93 0 1 -0.525 -0.521 0.017 -1.604	2 0.717 0.696 0.085 6.448	R 103 1 3 0.199 0.220 -0.017 -7.565	4 -0.727 -0.697 -0.119 -10.941
L 94 0 1 -0.525 -0.521 0.028 -1.710	2 0.717 0.699 -0.006 6.554	R 104 1 3 0.197 0.220 -0.028 -7.767	4 -0.730 -0.699 -0.062 -10.712
L 95 0 1 -0.524 -0.520 0.040 -1.640	2 0.719 0.700 -0.017 7.064	R 104 1 3 0.197 0.219 -0.085 -7.829	4 -0.732 -0.700 -0.051 -10.387
L 96 0 1 -0.522 -0.518 0.074 -1.446	2 0.721 0.699 -0.028 7.451	R 105 1 3 0.195 0.218 -0.006 -8.259	4 -0.732 -0.701 -0.051 -10.905
L 96 0 1 -0.522 -0.517 0.017 -1.736	2 0.721 0.699 -0.017 7.574	R 106 1 3 0.193 0.217 -0.051 -8.470	4 -0.734 -0.703 -0.096 -11.152
L 97 0 1 -0.519 -0.515 0.062 -1.552	2 0.721 0.698 -0.017 7.776	R 107 1 3 0.191 0.216 -0.006 -8.435	4 -0.737 -0.704 -0.108 -11.266
L 98 0 1 -0.516 -0.513 0.051 -1.253	2 0.720 0.698 -0.017 7.723	R 107 1 3 0.191 0.216 -0.040 -8.629	4 -0.739 -0.707 -0.085 -10.721
L 99 0 1 -0.512 -0.511 0.051 -0.769	2 0.719 0.698 -0.028 7.380	R 108 1 3 0.189 0.215 -0.028 -9.095	4 -0.739 -0.709 -0.096 -10.800
L 99 0 1 -0.512 -0.509 0.085 -1.262	2 0.717 0.697 -0.028 7.196	R 109 1 3 0.188 0.215 -0.017 -9.367	4 -0.742 -0.710 -0.062 -11.134
L 0 1 1 -0.509 -0.507 0.062 -0.708	2 0.717 0.697 0.006 7.064	R 110 1 3 0.186 0.213 -0.040 -9.341	4 -0.744 -0.712 -0.085 -11.240
L 1 1 1 -0.505 -0.505 0.119 -0.154	2 0.715 0.697 0.176 5.763	R 110 1 3 0.186 0.212 -0.187 -8.743	4 -0.747 -0.712 0.028 -11.486
L 2 1 1 -0.501 -0.502 0.142 0.031	2 0.713 0.701 -0.028 4.602	R 111 1 3 0.184 0.208 -0.096 -8.312	4 -0.747 -0.712 -0.040 -12.110
L 2 1 1 -0.501 -0.501 -0.062 -0.013	2 0.711 0.702 0.040 3.486	R 112 1 3 0.183 0.207 -0.062 -8.549	4 -0.749 -0.714 -0.119 -12.321
L 3 1 1 -0.497 -0.498 0.176 0.321	2 0.711 0.702 -0.040 3.108	R 113 1 3 0.181 0.207 -0.017 -8.611	4 -0.752 -0.717 -0.176 -11.820
L 4 1 1 -0.493 -0.495 0.096 0.497	2 0.709 0.702 0.017 2.642	R 113 1 3 0.181 0.206 0.006 -8.910	4 -0.755 -0.720 -0.131 -11.213
L 5 1 1 -0.489 -0.493 0.062 0.963	2 0.707 0.701 -0.006 2.123	R 114 1 3 0.179 0.206 -0.040 -9.156	4 -0.755 -0.722 -0.085 -11.433
L 5 1 1 -0.489 -0.491 0.096 0.681	2 0.706 0.701 -0.006 1.710	R 115 1 3 0.178 0.204 -0.074 -9.218	4 -0.758 -0.724 -0.096 -11.785
L 6 1 1 -0.485 -0.488 0.085 1.253	2 0.706 0.701 -0.040 1.701	R 116 1 3 0.176 0.204 -0.017 -9.367	4 -0.760 -0.727 -0.119 -11.785
L 7 1 1 -0.481 -0.486 0.062 1.604	2 0.704 0.699 -0.028 1.490	R 116 1 3 0.176 0.203 -0.040 -9.420	4 -0.763 -0.729 -0.051 -11.029
L 8 1 1 -0.477 -0.484 0.085 2.105	2 0.702 0.699 -0.051 1.033	R 117 1 3 0.175 0.202 -0.006 -9.587	4 -0.763 -0.731 -0.051 -11.389
L 8 1 1 -0.477 -0.482 0.040 1.560	2 0.701 0.699 0.006 0.725	R 118 1 3 0.173 0.201 -0.040 -9.815	4 -0.766 -0.734 -0.108 -11.284
L 9 1 1 -0.473 -0.480 0.051 2.105	2 0.701 0.698 -0.051 0.681	R 119 1 3 0.172 0.200 -0.051 -9.842	4 -0.769 -0.736 -0.176 -11.319
L 10 1 1 -0.469 -0.477 0.119 2.484	2 0.699 0.698 -0.028 0.549	R 119 1 3 0.172 0.200 -0.074 -9.710	4 -0.772 -0.738 -0.096 -10.932
L 11 1 1 -0.465 -0.475 0.096 2.791	2 0.697 0.697 -0.006 0.251	R 0 0 3 0.170 0.199 -0.040 -9.824	4 -0.772 -0.740 -0.028 -11.415
L 11 1 1 -0.465 -0.472 0.096 2.246	2 0.696 0.697 -0.006 0.066	R 1 0 3 0.169 0.197 -0.085 -9.859	4 -0.775 -0.742 -0.119 -11.679
L 12 1 1 -0.462 -0.470 0.062 2.782	2 0.696 0.696 -0.040 0.075	R 2 0 3 0.168 0.196 -0.119 -9.358	4 -0.778 -0.742 0.006 -12.620
L 13 1 1 -0.458 -0.466 0.142 2.721	2 0.694 0.693 -0.040 0.295	R 2 0 3 0.168 0.191 -0.165 -8.154	4 -0.781 -0.741 0.131 -13.613
L 14 1 1 -0.454 -0.462 0.165 2.343	2 0.693 0.691 -0.131 0.848	R 3 0 3 0.166 0.187 -0.142 -7.354	4 -0.781 -0.738 0.142 -15.591
L 14 1 1 -0.454 -0.458 0.153 1.279	2 0.692 0.686 -0.165 2.299	R 4 0 3 0.165 0.183 -0.153 -6.607	4 -0.784 -0.736 0.040 -16.831
L 15 1 1 -0.450 -0.453 0.131 0.848	2 0.692 0.681 -0.142 3.916	R 5 0 3 0.163 0.180 -0.051 -5.824	4 -0.786 -0.735 -0.028 -17.508
L 16 1 1 -0.447 -0.449 0.187 0.541	2 0.690 0.677 -0.108 4.523	R 5 0 3 0.163 0.179 -0.096 -5.525	4 -0.786 -0.736 -0.062 -17.297
L 17 1 1 -0.443 -0.447 0.017 0.901	2 0.689 0.677 0.006 4.040	R 6 0 3 0.160 0.177 -0.017 -5.921	4 -0.786 -0.739 -0.142 -16.602
L 17 1 1 -0.443 -0.444 0.006 0.365	2 0.688 0.678 0.040 3.442	R 7 0 3 0.158 0.176 -0.028 -6.475	4 -0.786 -0.743 -0.210 -15.213
L 18 1 1 -0.439 -0.442 0.062 0.734	2 0.688 0.678 0.028 3.116	R 8 0 3 0.154 0.176 0.006 -6.835	4 -0.784 -0.746 -0.074 -13.701
L 19 1 1 -0.436 -0.438 0.096 0.840	2 0.687 0.678 -0.017 2.791	R 8 0 3 0.154 0.174 -0.119 -6.905	4 -0.781 -0.748 -0.028 -12.989
L 20 1 1 -0.432 -0.435 0.108 0.611	2 0.685 0.677 -0.040 2.809	R 9 0 3 0.150 0.171 -0.119 -7.143	4 -0.781 -0.748 0.006 -11.785
L 20 1 1 -0.432 -0.433 0.028 0.365	2 0.684 0.675 -0.131 3.363	R 10 0 3 0.146 0.168 -0.165 -7.521	4 -0.776 -0.746 0.074 -10.624
L 21 1 1 -0.428 -0.429 0.233 0.040	2 0.684 0.672 -0.165 4.391	R 11 0 3 0.141 0.164 -0.096 -7.029	4 -0.770 -0.744 0.176 -9.534
L 22 1 1 -0.425 -0.426 -0.006 0.277	2 0.683 0.669 -0.085 5.121	R 11 0 3 0.141 0.160 -0.108 -6.879	4 -0.761 -0.742 0.028 -9.789
L 23 1 1 -0.421 -0.422 0.085 -0.031	2 0.682 0.665 -0.119 6.026	R 12 0 3 0.135 0.156 -0.142 -7.495	4 -0.761 -0.737 0.062 -8.374
L 23 1 1 -0.421 -0.418 0.176 -1.147	2 0.681 0.661 -0.142 7.213	R 13 0 3 0.128 0.151 -0.233 -7.890	4 -0.751 -0.732 0.233 -6.756
L 24 1 1 -0.418 -0.414 0.131 -1.235	2 0.681 0.657 -0.131 8.242	R 14 0 3 0.121 0.147 -0.153 -7.600	4 -0.739 -0.728 0.369 -4.954
L 25 1 1 -0.414 -0.410 0.131 -1.499	2 0.680 0.654 -0.119 9.042	R 14 0 3 0.121 0.141 -0.187 -7.389	4 -0.725 -0.725 0.040 -5.024
L 26 1 1 -0.410 -0.406 0.119 -1.789	2 0.679 0.651 -0.108 9.921	R 15 0 3 0.112 0.136 -0.210 -7.978	4 -0.725 -0.717 0.017 -2.290
L 26 1 1 -0.410 -0.403 0.131 -2.659	2 0.678 0.648 -0.142 10.888	R 16 0 3 0.104 0.128 -0.437 -7.495	4 -0.709 -0.715 0.312 1.253
L 27 1 1 -0.407 -0.401 0.006 -2.246	2 0.678 0.644 -0.119 12.048	R 17 0 3 0.095 0.114 -0.426 -4.699	4 -0.692 -0.701 0.630 1.411
L 28 1 1 -0.403 -0.397 0.119 -2.255	2 0.677 0.640 -0.165 13.015	R 17 0 3 0.095 0.098 -0.528 -1.376	4 -0.673 -0.685 0.074 -2.070
L 29 1 1 -0.400 -0.394 0.119 -2.475	2 0.677 0.636 -0.142 14.018	R 18 0 3 0.085 0.088 -0.312 -1.156	4 -0.673 -0.672 0.528 -0.066
L 29 1 1 -0.400 -0.391 0.085 -3.204	2 0.676 0.634 -0.085 14.642	R 19 0 3 0.075 0.082 -0.233 -1.657	4 -0.653 -0.662 0.596 2.141
L 30 1 1 -0.397 -0.390 -0.017 -2.352	2 0.676 0.634 0.017 14.607	R 20 0 3 0.065 0.076 -0.153 -1.657	4 -0.632 -0.649 0.664 3.925
L 31 1 1 -0.393 -0.390 -0.028 -1.244	2 0.675 0.635 0.051 14.053	R 20 0 3 0.065 0.070 -0.187 -1.745	4 -0.610 -0.628 0.460 -0.936
L 32 1 1 -0.390 -0.390 -0.006 -0.382	2 0.674 0.636 0.040 13.437	R 21 0 3 0.054 0.062 -0.244 -2.967	4 -0.610 -0.609 0.653 -0.084
L 32 1 1 -0.390 -0.389 0.006 -0.136	2 0.674 0.637 0.006 13.059	R 22 0 3 0.044 0.057 -0.289 -3.978	4 -0.588 -0.594 0.778 1.147
L 33 1 1 -0.386 -0.388 0.153 0.321	2 0.674 0.637 -0.017 12.822	R 23 0 3 0.034 0.051 -0.199 -3.837	4 -0.565 -0.579 0.539 3.037
L 34 1 1 -0.383 -0.387 0.074 1.130	2 0.673 0.637 -0.051 12.725	R 23 0 3 0.034 0.042 -0.335 -2.686	4 -0.541 -0.561 0.414 -0.936
L 35 1 1 -0.379 -0.386 0.017 1.974	2 0.673 0.636 -0.040 12.963	R 24 0 3 0.024 0.032 -0.369 -2.642	4 -0.541 -0.542 0.721 0.127
L 35 1 1 -0.379 -0.384 0.006 1.719	2 0.672 0.634 -0.040 13.358	R 25 0 3 0.014 0.022 -0.369 -2.536	4 -0.517 -0.527 0.687 2.097
L 36 1 1 -0.376 -0.384 0.028 2.563	2 0.672 0.633 -0.074 13.684	R 26 0 3 0.004 0.015 -0.187 -1.622	4 -0.494 -0.511 0.709 3.829
L 37 1 1 -0.373 -0.383 -0.028 3.574	2 0.672 0.632 -0.051 13.851	R 26 0 3 0.004 0.007 -0.244 -0.919	4 -0.470 -0.490 0.437 -0.611
L 38 1 1 -0.370 -0.383 0.017 4.418	2 0.671 0.631 -0.028 14.000	R 27 0 3 -0.005 -0.000 -0.187 -1.692	4 -0.470 -0.469 0.709 0.013
L 38 1 1 -0.370 -0.382 0.006 4.435	2 0.671 0.631 -0.017 14.035	R 28 0 3 -0.013 -0.003 -0.221 -2.818	4 -0.447 -0.456 0.630 2.123
L 39 1 1 -0.366 -0.382 0.006 5.560	2 0.671 0.631 -0.017 14.044	R 29 0 3 -0.020 -0.007 -0.096 -2.993	4 -0.424 -0.441 0.721 3.512
L 40 1 1 -0.363 -0.382 -0.006 6.589	2 0.670 0.631 -0.028 13.912	R 29 0 3 -0.020 -0.013 -0.221 -2.457	4 -0.402 -0.419 0.471 -1.314
L 41 1 1 -0.360 -0.382 -0.017 7.459	2 0.670 0.630 -0.006 13.833	R 30 0 3 -0.027 -0.020 -0.176 -2.703	4 -0.402 -0.402 0.630 0.057
L 41 1 1 -0.360 -0.381 -0.006 7.565	2 0.670 0.630 -0.028 14.035	R 31 0 3 -0.033 -0.024 -0.187 -2.923	4 -0.381 -0.389 0.619 1.789
L 42 1 1 -0.356 -0.380 0.040 8.233	2 0.670 0.628 -0.028 14.484	R 32 0 3 -0.038 -0.028 -0.176 -2.211	4 -0.360 -0.375 0.505 3.538
L 43 1 1 -0.353 -0.379 0.040 8.857	2 0.669 0.627 -0.051 14.782	R 32 0 3 -0.038 -0.034 -0.199 -1.411	4 -0.341 -0.358 0.426 -0.101
L 44 1 1 -0.350 -0.378 0.051 9.367	2 0.669 0.626 -0.051 15.319	R 33 0 3 -0.042 -0.039 -0.119 -1.402	4 -0.341 -0.341 0.494 0.435
L 44 1 1 -0.350 -0.376 0.040 9.024	2 0.669 0.624 -0.062 15.873	R 34 0 3 -0.046 -0.041 -0.040 -1.631	4 -0.322 -0.331 0.585 2.044
L 45 1 1 -0.347 -0.374 0.028 9.552	2 0.669 0.623 -0.028 16.295	R 35 0 3 -0.048 -0.041 -0.006 -1.877	4 -0.305 -0.319 0.482 3.521
L 46 1 1 -0.344 -0.373 0.028 10.018	2 0.669 0.621 -0.028 16.699	R 35 0 3 -0.048 -0.042 -0.006 -2.070	4 -0.288 -0.303 0.346 0.031
L 47 1 1 -0.341 -0.371 0.040 10.360	2 0.669 0.620 -0.062 17.059	R 36 0 3 -0.049 -0.042 0.017 -2.431	4 -0.288 -0.289 0.516 0.321
L 47 1 1 -0.341 -0.369 0.062 10.088	2 0.669 0.619 -0.085 17.516	R 37 0 3 -0.049 -0.042 0.006 -2.466	4 -0.273 -0.280 0.392 1.692
L 48 1 1 -0.337 -0.368 0.017 10.589	2 0.669 0.618 -0.017 17.842	R 38 0 3 -0.047 -0.042 0.006 -2.343	4 -0.259 -0.270 0.403 2.536
L 49 1 1 -0.334 -0.366 0.062 10.958	2 0.669 0.617 -0.040 -17.921	R 38 0 3 -0.047 -0.042 -0.040 -1.868	4 -0.246 -0.261 0.165 0.585
L 50 1 1 -0.331 -0.365 0.074 11.213	2 0.669 0.617 -0.051 -17.604	R 39 0 3 -0.045 -0.042 0.017 -1.262	4 -0.246 -0.250 0.244 1.525
